id;nom_biblio;adresse
1;Serbian Dinar Games Steel;Soft
2;Up-sized;National Meadows
3;turquoise transmitting;Jewelery transmit mobile
4;reinvent;Buckinghamshire Customer
5;Gorgeous deposit withdrawal;Grocery driver
6;Crossing Computer;program Regional
7;infomediaries distributed;Universal framework Movies
8;Bedfordshire Minnesota;Awesome Cotton Gloves connecting
9;Fish SQL;Tasty Metal Bacon Gorgeous Frozen Keyboard
10;reintermediate Auto Loan Account Gorgeous Frozen Chicken;Specialist solid state
