id;nom_livre;genre;nombredepages;langues;prix
1;Practical Plastic Computer Chicken;Hungary;Object-based auxiliary Pants;Algeria AI;lime monitor
2;Personal Loan Account Fantastic Wooden Car;productize actuating;copy Villages Senior;Island Response Kids;cross-media Missouri
3;hierarchy Principal interactive;AGP Ergonomic Frozen Bacon;Reunion Accounts;orchestrate Berkshire capacity;Integration Incredible compressing
4;engineer Ferry;innovate Intelligent Soft Gloves optical;recontextualize Rubber;bus enterprise Washington;Marshall Islands Investor
5;Planner;invoice;leverage Innovative;logistical Tactics Home Loan Account;multi-byte architecture Handmade Steel Pizza
6;Tala programming;Planner;protocol overriding;Maldives function;invoice Rustic Fresh Bacon Ethiopia
7;View;bandwidth Seamless;Games;Plastic channels Lead;Regional incentivize platforms
8;solid state;next-generation Configuration;Incredible Frozen Bike;Arizona primary;intranet withdrawal optimize
9;optimizing Tasty Cotton Cheese Ergonomic;Pants;invoice Gorgeous;calculate;Engineer Money Market Account Freeway
10;black Uruguay Graphical User Interface;disintermediate innovate Books;payment Assistant;heuristic system human-resource;Berkshire
